micnum,ccode1,ccode2,year,dyfatalmin1,dyfatalmax1,dyfatalmin2,dyfatalmax2,dyhiact1,dyhiact2,dyhostlev1,dyhostlev2,numevents,version
50,2,710,1951,0,0,0,0,7,0,3,1,1,mic-tdd-1.01
50,2,710,1952,0,0,0,0,1,0,2,1,1,mic-tdd-1.01
50,2,710,1953,0,0,0,0,16,16,4,4,5,mic-tdd-1.01
50,2,710,1957,0,0,0,0,7,16,3,4,3,mic-tdd-1.01
50,710,713,1950,301,2000,1101,5900,22,22,5,5,4,mic-tdd-1.01
50,710,713,1951,275,350,50,125,17,17,4,4,10,mic-tdd-1.01
50,710,713,1952,1951,2200,600,1050,17,17,4,4,11,mic-tdd-1.01
50,710,713,1953,1146,1505,520,775,17,17,4,4,13,mic-tdd-1.01
50,710,713,1954,4000,6000,441,2465,22,22,5,5,24,mic-tdd-1.01
50,710,713,1955,405,550,531,701,22,22,5,5,24,mic-tdd-1.01
50,710,713,1956,1,25,1,25,17,17,4,4,9,mic-tdd-1.01
50,710,713,1957,0,0,2,50,17,17,4,4,11,mic-tdd-1.01
50,710,2,1950,0,0,0,0,0,7,1,3,1,mic-tdd-1.01
50,710,2,1951,0,0,0,0,0,7,1,3,1,mic-tdd-1.01
50,710,2,1952,0,0,0,0,0,1,1,2,1,mic-tdd-1.01
50,710,2,1953,0,0,0,0,16,16,4,4,5,mic-tdd-1.01
50,710,2,1957,0,0,0,0,16,7,4,3,3,mic-tdd-1.01
50,713,710,1950,1101,5900,301,2000,22,22,5,5,4,mic-tdd-1.01
50,713,710,1951,50,125,275,350,17,17,4,4,10,mic-tdd-1.01
50,713,710,1952,600,1050,1951,2200,17,17,4,4,11,mic-tdd-1.01
50,713,710,1953,520,775,1146,1505,17,17,4,4,13,mic-tdd-1.01
50,713,710,1954,441,2465,4000,6000,22,22,5,5,24,mic-tdd-1.01
50,713,710,1955,531,701,405,550,22,22,5,5,24,mic-tdd-1.01
50,713,710,1956,1,25,1,25,17,17,4,4,9,mic-tdd-1.01
50,713,710,1957,2,50,0,0,17,17,4,4,11,mic-tdd-1.01
51,2,710,1950,8310,8734,29455,38715,22,22,5,5,11,mic-tdd-1.01
51,2,710,1951,10724,11513,13503,34800,22,22,5,5,57,mic-tdd-1.01
51,2,710,1952,4368,5082,4848,8796,22,22,5,5,56,mic-tdd-1.01
51,2,710,1953,2923,3252,3983,7316,22,22,5,5,33,mic-tdd-1.01
51,2,731,1950,12988,22536,54342,80851,22,22,5,5,37,mic-tdd-1.01
51,2,731,1951,888,2179,9581,16942,22,22,5,5,58,mic-tdd-1.01
51,2,731,1952,604,1332,744,3274,22,22,5,5,54,mic-tdd-1.01
51,2,731,1953,132,440,132,643,22,22,5,5,31,mic-tdd-1.01
51,20,710,1950,20,20,5,65,22,22,5,5,5,mic-tdd-1.01
51,20,710,1951,662,921,127,1210,22,22,5,5,84,mic-tdd-1.01
51,20,710,1952,191,196,114,1115,22,22,5,5,105,mic-tdd-1.01
51,20,710,1953,77,77,50,440,22,22,5,5,41,mic-tdd-1.01
51,20,731,1950,13,13,9,90,22,22,5,5,9,mic-tdd-1.01
51,20,731,1951,1,10,1,100,22,22,5,5,1,mic-tdd-1.01
51,100,710,1951,2,2,63,87,22,22,5,5,4,mic-tdd-1.01
51,100,710,1952,97,106,26,125,22,22,5,5,2,mic-tdd-1.01
51,100,710,1953,135,145,1000,1250,22,22,5,5,3,mic-tdd-1.01
51,100,731,1951,0,0,0,0,7,0,3,1,1,mic-tdd-1.01
51,100,731,1952,1,10,1,50,22,22,5,5,1,mic-tdd-1.01
51,200,710,1950,42,42,106,400,22,22,5,5,7,mic-tdd-1.01
51,200,710,1951,505,514,1264,3180,22,22,5,5,129,mic-tdd-1.01
51,200,710,1952,265,265,182,1370,22,22,5,5,119,mic-tdd-1.01
51,200,710,1953,144,144,873,1730,22,22,5,5,74,mic-tdd-1.01
51,200,731,1950,51,51,132,1145,22,22,5,5,10,mic-tdd-1.01
51,200,731,1951,1,10,1,10,22,22,5,5,1,mic-tdd-1.01
51,210,710,1951,37,61,43,235,22,22,5,5,5,mic-tdd-1.01
51,210,710,1952,6,15,35,60,22,22,5,5,2,mic-tdd-1.01
51,210,710,1953,14,59,150,300,22,22,5,5,6,mic-tdd-1.01
51,210,731,1951,23,47,52,210,22,22,5,5,3,mic-tdd-1.01
51,211,710,1951,80,80,215,700,22,22,5,5,3,mic-tdd-1.01
51,211,710,1952,0,0,0,0,22,22,5,5,0,mic-tdd-1.01
51,211,710,1953,24,24,200,400,22,22,5,5,1,mic-tdd-1.01
51,211,731,1952,0,0,0,0,0,0,1,1,0,mic-tdd-1.01
51,212,710,1951,2,2,25,100,22,22,5,5,1,mic-tdd-1.01
51,212,710,1952,0,0,0,0,22,22,5,5,1,mic-tdd-1.01
51,212,710,1953,0,0,0,0,22,22,5,5,1,mic-tdd-1.01
51,212,731,1953,0,0,0,0,0,0,1,1,0,mic-tdd-1.01
51,220,710,1950,0,0,0,0,7,0,3,1,1,mic-tdd-1.01
51,220,710,1951,34,58,501,850,22,22,5,5,2,mic-tdd-1.01
51,220,710,1952,65,150,600,1250,22,22,5,5,2,mic-tdd-1.01
51,220,710,1953,40,50,500,750,22,22,5,5,1,mic-tdd-1.01
51,220,731,1950,0,0,0,0,7,0,3,1,1,mic-tdd-1.01
51,220,731,1951,112,136,3701,4750,22,22,5,5,5,mic-tdd-1.01
51,350,710,1950,0,0,0,0,7,0,3,1,1,mic-tdd-1.01
51,350,710,1951,29,54,175,250,22,22,5,5,2,mic-tdd-1.01
51,350,710,1952,21,75,61,165,22,22,5,5,3,mic-tdd-1.01
51,350,710,1953,50,75,560,790,22,22,5,5,3,mic-tdd-1.01
51,350,731,1950,0,0,0,0,7,0,3,1,1,mic-tdd-1.01
51,530,710,1951,5,25,5,25,17,17,4,4,2,mic-tdd-1.01
51,530,710,1952,15,35,200,230,22,22,5,5,2,mic-tdd-1.01
51,530,710,1953,31,95,136,205,22,22,5,5,3,mic-tdd-1.01
51,530,731,1952,1,10,1,50,22,22,5,5,1,mic-tdd-1.01
51,560,710,1950,0,0,500,1000,22,22,5,5,2,mic-tdd-1.01
51,560,710,1951,24,24,0,0,22,22,5,5,21,mic-tdd-1.01
51,560,710,1952,10,10,0,0,22,22,5,5,10,mic-tdd-1.01
51,560,710,1953,0,0,0,0,22,22,5,5,0,mic-tdd-1.01
51,640,710,1950,225,350,240,575,22,22,5,5,3,mic-tdd-1.01
51,640,710,1951,230,420,1191,2000,22,22,5,5,6,mic-tdd-1.01
51,640,710,1952,1,50,1,50,22,22,5,5,0,mic-tdd-1.01
51,640,710,1953,102,170,1202,1560,22,22,5,5,2,mic-tdd-1.01
51,640,731,1950,0,0,0,0,7,0,3,1,1,mic-tdd-1.01
51,640,731,1951,50,100,1,100,22,22,5,5,1,mic-tdd-1.01
51,710,732,1950,123950,246500,41180,53040,22,22,5,5,4,mic-tdd-1.01
51,710,732,1951,802,2150,52,210,22,22,5,5,3,mic-tdd-1.01
51,710,732,1952,1602,8070,502,620,22,22,5,5,3,mic-tdd-1.01
51,710,732,1953,7002,8150,2611,2725,22,22,5,5,3,mic-tdd-1.01
51,710,800,1950,0,0,0,0,0,7,1,3,1,mic-tdd-1.01
51,710,800,1951,117,215,9,46,22,22,5,5,5,mic-tdd-1.01
51,710,800,1952,70,95,13,18,22,22,5,5,2,mic-tdd-1.01
51,710,800,1953,101,550,35,70,22,22,5,5,2,mic-tdd-1.01
51,710,840,1950,5,50,1,10,16,0,4,1,1,mic-tdd-1.01
51,710,840,1951,502,900,30,44,22,22,5,5,3,mic-tdd-1.01
51,710,840,1952,1300,1600,25,25,22,22,5,5,2,mic-tdd-1.01
51,710,840,1953,50,100,30,75,22,22,5,5,1,mic-tdd-1.01
51,710,900,1950,9,105,31,31,22,22,5,5,9,mic-tdd-1.01
51,710,900,1951,339,652,577,827,22,22,5,5,34,mic-tdd-1.01
51,710,900,1952,66,675,107,107,22,22,5,5,66,mic-tdd-1.01
51,710,900,1953,42,420,74,74,22,22,5,5,42,mic-tdd-1.01
