micnum,stmon,stday,styear,endmon,endday,endyear,fatalmin,fatalmax,hiact,hostlev,outcome,numa,numb,version
3540,4,15,1984,6,14,1986,5,53,17,4,5,2,1,mic-1.0
3542,5,-9,1940,6,28,1940,0,0,14,4,4,1,1,mic-1.0
3550,4,24,1992,4,24,1992,1,1,16,4,5,1,1,mic-1.0
3551,7,16,1992,5,20,1994,0,0,15,4,1,14,1,mic-1.0
3552,7,27,1992,12,23,1993,9,81,17,4,5,6,1,mic-1.0
3554,12,9,1992,8,14,1994,2,2,16,4,5,1,1,mic-1.0
3555,1,19,1992,7,10,1992,134,501,17,4,4,1,1,mic-1.0
3556,10,20,1992,10,27,1992,5,5,17,4,6,1,1,mic-1.0
3557,4,6,1992,1,25,1993,1387,4056,22,5,5,2,1,mic-1.0
3558,3,31,1992,7,21,1992,80,215,16,4,6,1,1,mic-1.0
3559,7,14,1992,8,3,1992,0,0,15,4,5,1,1,mic-1.0
3560,7,27,1992,8,2,1992,0,0,17,4,5,1,1,mic-1.0
3561,6,13,1992,10,26,1993,17,129,17,4,1,1,1,mic-1.0
3563,9,17,1992,9,21,1992,0,0,16,4,5,1,1,mic-1.0
3564,1,26,1992,5,4,1994,4405,10434,22,5,5,2,3,mic-1.0
3566,4,5,1992,9,2,1992,0,0,17,4,5,1,1,mic-1.0
3567,4,15,1992,12,25,1992,0,0,14,4,4,1,1,mic-1.0
3568,10,7,1992,1,4,1994,53,201,17,4,5,1,4,mic-1.0
3569,9,30,1992,12,20,1992,2,2,17,4,6,1,1,mic-1.0
3570,5,22,1992,5,22,1992,3,3,17,4,5,1,1,mic-1.0
3573,4,21,1992,5,31,1992,0,0,15,4,7,1,1,mic-1.0
3574,2,1,1992,12,25,1992,32,95,17,4,6,1,1,mic-1.0
3604,2,19,1978,2,19,1978,10,10,17,4,5,1,1,mic-1.0
3606,7,-9,1978,8,28,1978,0,0,7,3,5,1,1,mic-1.0
3610,9,22,1980,9,22,1980,0,0,7,3,5,1,1,mic-1.0
3614,3,-9,1983,4,20,1983,46,92,17,4,5,1,1,mic-1.0
3615,4,26,1983,4,26,1983,0,0,1,2,7,1,1,mic-1.0
3616,9,4,1983,10,3,1983,0,0,7,3,5,1,2,mic-1.0
3617,4,25,1984,6,5,1984,0,0,16,4,5,1,6,mic-1.0
3618,5,6,1985,10,5,1985,0,0,17,4,5,1,1,mic-1.0
3620,11,-9,1985,12,3,1985,0,0,15,4,5,2,1,mic-1.0
3622,1,1,1984,2,5,1986,6576,19903,22,5,5,1,1,mic-1.0
