micnum,stmon,stday,styear,endmon,endday,endyear,fatalmin,fatalmax,hiact,hostlev,outcome,numa,numb,version
92,2,18,1964,2,29,1964,27,27,17,4,1,1,1,mic-1.0
95,10,-9,1909,10,-9,1909,0,0,7,3,4,1,1,mic-1.0
96,5,8,1886,6,6,1886,0,0,13,4,4,5,1,mic-1.0
100,12,17,1914,7,28,1915,0,0,16,4,4,1,1,mic-1.0
104,3,-9,1880,6,-9,1880,0,0,11,3,6,1,1,mic-1.0
106,4,23,1895,5,6,1895,0,0,7,3,4,3,1,mic-1.0
108,3,25,1939,4,7,1939,391,580,22,5,1,1,1,mic-1.0
109,9,-9,1904,9,-9,1904,0,0,10,3,5,1,1,mic-1.0
111,11,22,1934,5,5,1936,18888,27085,22,5,2,2,1,mic-1.0
112,9,11,1860,9,29,1860,750,875,22,5,1,1,2,mic-1.0
113,9,18,1860,2,13,1861,1390,1550,22,5,1,1,2,mic-1.0
114,9,26,1911,10,18,1912,12760,16805,22,5,1,1,1,mic-1.0
115,2,-9,1859,7,11,1859,14360,18550,22,5,2,2,2,mic-1.0
119,2,24,1885,9,10,1885,0,0,11,3,6,1,1,mic-1.0
121,6,27,1853,6,27,1853,0,0,7,3,4,1,1,mic-1.0
122,6,25,1961,2,28,1962,0,0,16,4,5,8,1,mic-1.0
123,7,21,1845,3,23,1846,0,0,13,4,1,2,1,mic-1.0
125,5,14,1958,10,28,1958,0,0,16,4,6,3,3,mic-1.0
126,1,-9,1853,2,12,1853,0,0,1,2,4,2,1,mic-1.0
127,3,3,1921,5,11,1921,0,0,14,4,4,4,1,mic-1.0
128,11,15,1905,12,5,1905,0,0,14,4,4,5,1,mic-1.0
129,9,18,1931,5,31,1933,36296,43920,22,5,1,1,1,mic-1.0
131,9,14,1899,4,1,1900,0,0,10,3,4,1,2,mic-1.0
133,1,11,1923,1,29,1923,2,25,17,4,6,1,2,mic-1.0
134,3,20,1939,3,23,1939,0,0,7,3,4,1,1,mic-1.0
135,10,31,1861,2,5,1867,7928,12052,22,5,2,3,1,mic-1.0
136,8,4,1913,11,23,1914,324,344,17,4,3,1,1,mic-1.0
137,5,4,1831,5,13,1831,0,0,7,3,5,1,1,mic-1.0
139,12,-9,1934,2,2,1935,102,340,17,4,3,1,1,mic-1.0
141,6,7,1880,11,25,1880,0,0,10,3,4,7,1,mic-1.0
142,7,-9,1821,8,10,1821,0,0,7,3,5,1,1,mic-1.0
144,7,13,1854,10,-9,1854,0,0,16,4,5,1,1,mic-1.0
145,1,5,1927,3,28,1927,42,42,17,4,5,7,1,mic-1.0
146,8,16,1827,2,-9,1828,2160,3200,17,4,1,1,3,mic-1.0
147,3,-9,1821,4,7,1821,27,125,17,4,1,1,1,mic-1.0
148,4,21,1959,8,1,1960,1,1,16,4,5,1,1,mic-1.0
149,11,18,1856,5,26,1857,0,0,10,3,6,1,1,mic-1.0
151,5,2,1926,9,23,1926,0,0,14,4,4,1,1,mic-1.0
152,12,7,1896,6,14,1898,0,0,14,4,6,1,1,mic-1.0
153,6,22,1833,6,22,1833,0,0,7,3,4,2,2,mic-1.0
154,9,12,1850,11,29,1850,0,0,16,4,6,1,6,mic-1.0
156,2,-9,1906,5,14,1906,0,0,14,4,3,1,1,mic-1.0
157,7,7,1937,12,7,1941,596660,975750,22,5,9,1,1,mic-1.0
158,2,21,1921,8,23,1921,38,115,17,4,3,1,2,mic-1.0
159,11,2,1903,1,25,1904,0,0,13,4,1,1,1,mic-1.0
160,3,21,1838,3,9,1839,40,95,16,4,1,1,1,mic-1.0
164,5,20,1904,6,28,1904,0,0,7,3,7,4,2,mic-1.0
165,11,2,1911,9,-9,1912,301,650,16,4,1,1,1,mic-1.0
166,4,16,1908,6,17,1908,0,0,16,4,4,1,1,mic-1.0
167,3,9,1821,4,8,1821,27,125,17,4,1,1,1,mic-1.0
172,1,5,1962,1,10,1966,85,221,17,4,5,1,2,mic-1.0
173,7,17,1958,3,20,1959,1165,1587,22,5,5,2,2,mic-1.0
174,3,7,1936,3,7,1936,0,0,7,3,4,1,2,mic-1.0
175,4,24,1849,7,1,1849,2290,3080,22,5,1,2,1,mic-1.0
177,1,10,1923,7,11,1923,0,0,14,4,5,2,1,mic-1.0
178,4,-9,1932,3,23,1935,0,0,17,4,6,1,1,mic-1.0
179,10,8,1939,3,13,1940,141960,170120,22,5,1,1,1,mic-1.0
180,6,30,1903,9,5,1905,90157,105676,22,5,2,1,1,mic-1.0
182,1,8,1935,4,14,1936,108,166,17,4,5,2,1,mic-1.0
183,5,11,1939,9,16,1939,19727,23255,22,5,1,2,1,mic-1.0
184,7,11,1938,8,11,1938,1142,1560,22,5,5,1,1,mic-1.0
185,10,-9,1956,10,23,1956,0,0,7,3,2,1,1,mic-1.0
187,10,31,1876,3,3,1878,59781,81100,22,5,1,1,1,mic-1.0
189,11,-9,1827,9,14,1829,42785,53925,22,5,1,1,1,mic-1.0
191,12,21,1888,3,16,1889,0,0,7,3,6,1,2,mic-1.0
194,10,1,1863,8,1,1864,2146,2841,22,5,1,4,2,mic-1.0
196,3,-9,1893,8,3,1893,21,21,22,5,4,1,2,mic-1.0
197,1,6,1918,6,24,1922,6742,9390,22,5,2,8,1,mic-1.0
198,9,1,1848,9,11,1848,0,0,7,3,4,2,1,mic-1.0
199,10,24,1961,12,7,1964,1501,2581,22,5,2,1,1,mic-1.0
200,9,1,1955,11,6,1956,1996,4216,22,5,2,2,4,mic-1.0
202,3,25,1883,6,9,1885,4016,5165,22,5,2,1,1,mic-1.0
203,6,-9,1959,10,31,1961,23,50,17,4,5,1,1,mic-1.0
207,2,-9,1858,6,8,1858,0,0,16,4,3,1,1,mic-1.0
208,3,10,1953,3,31,1953,5,5,16,4,5,2,2,mic-1.0
210,7,27,1936,3,29,1939,10992,15180,22,5,1,2,2,mic-1.0
211,3,29,1920,7,16,1920,0,0,14,4,2,1,2,mic-1.0
212,2,-9,1888,2,11,1888,0,0,7,3,5,1,2,mic-1.0
220,6,22,1870,10,5,1870,0,0,10,3,4,3,1,mic-1.0
224,11,4,1865,11,24,1865,0,0,7,3,4,3,1,mic-1.0
225,11,8,1861,12,27,1861,0,0,15,4,7,1,1,mic-1.0
227,3,13,1861,9,19,1861,0,0,16,4,3,1,2,mic-1.0
228,3,18,1881,5,12,1881,0,0,16,4,3,1,1,mic-1.0
230,3,9,1919,11,21,1919,0,0,14,4,2,1,1,mic-1.0
231,4,26,1849,5,25,1849,0,0,16,4,4,1,1,mic-1.0
236,9,16,1849,11,8,1849,0,0,7,3,4,2,3,mic-1.0
238,5,14,1913,5,14,1913,0,0,7,3,1,1,1,mic-1.0
241,3,31,1923,6,13,1923,0,0,15,4,7,1,1,mic-1.0
242,10,21,1904,11,25,1904,0,0,16,4,3,1,1,mic-1.0
246,5,6,1960,4,19,1961,0,0,17,4,5,1,2,mic-1.0
247,1,-9,1905,1,20,1905,0,0,7,3,4,4,2,mic-1.0
248,1,30,1932,5,5,1932,0,0,7,3,6,2,1,mic-1.0
249,5,-9,1910,5,-9,1910,0,0,7,3,5,1,1,mic-1.0
252,1,16,1946,10,-9,1946,0,0,10,3,5,1,2,mic-1.0
253,4,9,1960,7,1,1960,4,4,16,4,7,5,1,mic-1.0
254,6,-9,1902,2,13,1903,0,0,16,4,6,1,4,mic-1.0
256,10,31,1873,12,18,1873,0,0,15,4,7,1,2,mic-1.0
257,7,23,1914,11,25,1918,8978632,10730594,22,5,2,4,11,mic-1.0
258,3,15,1939,8,14,1945,13297826,15542027,22,5,1,23,11,mic-1.0
259,6,3,1956,9,6,1958,2,35,17,4,1,1,1,mic-1.0
260,9,23,1914,5,25,1915,0,0,14,4,4,1,1,mic-1.0
261,3,-9,1866,8,23,1866,19571,23127,22,5,2,8,2,mic-1.0
266,2,8,1958,6,17,1958,5,5,16,4,6,1,1,mic-1.0
301,11,-9,1835,2,15,1836,0,0,7,3,3,1,1,mic-1.0
304,4,20,1854,12,2,1854,0,0,14,4,4,1,1,mic-1.0
306,9,17,1860,1,19,1861,0,0,7,3,8,1,1,mic-1.0
307,5,6,1877,5,30,1878,0,0,7,3,4,1,1,mic-1.0
309,3,26,1898,7,1,1898,0,0,7,3,4,1,1,mic-1.0
310,10,16,1905,12,15,1905,0,0,7,3,4,1,1,mic-1.0
311,4,2,1908,4,20,1908,0,0,7,3,4,1,1,mic-1.0
312,10,-9,1910,12,28,1910,0,0,15,4,7,1,1,mic-1.0
313,3,15,1910,1,3,1911,0,0,7,3,4,1,1,mic-1.0
314,10,2,1911,10,15,1911,0,0,17,4,6,1,1,mic-1.0
315,7,1,1911,11,4,1911,0,0,7,3,6,1,2,mic-1.0
317,11,2,1912,5,30,1913,0,0,7,3,5,1,1,mic-1.0
320,8,25,1914,5,23,1915,0,0,17,4,9,3,1,mic-1.0
321,3,15,1916,2,5,1917,52,88,17,4,5,1,1,mic-1.0
323,6,6,1916,6,27,1917,35,70,17,4,9,2,1,mic-1.0
324,4,17,1915,6,27,1917,206,500,17,4,9,2,1,mic-1.0
327,3,14,1920,9,12,1920,0,0,14,4,5,3,1,mic-1.0
328,9,16,1922,7,23,1923,0,0,14,4,6,3,1,mic-1.0
337,6,14,1939,2,17,1940,0,0,16,4,4,1,2,mic-1.0
343,10,-9,1966,8,10,1967,0,0,17,4,5,1,1,mic-1.0
345,5,-9,1967,6,19,1967,0,0,15,4,5,1,2,mic-1.0
346,5,9,1968,11,17,1968,0,0,14,4,1,5,1,mic-1.0
347,1,23,1968,1,25,1968,1,1,16,4,7,1,1,mic-1.0
349,8,9,1968,12,-9,1969,85,188,17,4,5,1,1,mic-1.0
350,2,14,1969,7,4,1969,0,0,16,4,5,1,1,mic-1.0
352,5,7,1969,11,3,1969,12,300,17,4,5,1,1,mic-1.0
353,10,-9,1973,10,31,1973,0,0,8,3,5,1,1,mic-1.0
354,9,1,1972,11,13,1973,1,1,16,4,1,2,1,mic-1.0
355,1,15,1974,2,17,1974,85,95,17,4,2,1,1,mic-1.0
356,5,12,1975,5,15,1975,27,101,17,4,5,1,1,mic-1.0
358,10,20,1975,10,20,1975,4,4,16,4,5,1,1,mic-1.0
360,10,-9,1975,11,29,1975,0,0,7,3,6,1,1,mic-1.0
361,2,4,1976,2,4,1976,10,10,17,4,5,1,1,mic-1.0
362,6,19,1976,10,8,1976,4,4,17,4,6,1,2,mic-1.0
363,2,4,1976,2,4,1976,0,0,16,4,5,1,1,mic-1.0
364,3,14,1974,3,17,1974,0,0,15,4,5,1,1,mic-1.0
365,9,6,1976,11,12,1976,0,0,15,4,7,1,1,mic-1.0
366,8,27,1821,8,27,1821,0,0,12,3,5,1,1,mic-1.0
367,7,20,1828,10,30,1828,111,225,16,4,4,1,1,mic-1.0
370,8,-9,1830,9,-9,1830,0,0,7,3,5,1,1,mic-1.0
371,3,12,1842,3,12,1842,0,0,1,2,5,2,1,mic-1.0
373,1,-9,1846,6,15,1846,0,0,7,3,6,1,1,mic-1.0
375,3,-9,1848,7,10,1849,806,1279,22,5,6,5,4,mic-1.0
377,4,-9,1852,7,-9,1852,0,0,7,3,4,1,1,mic-1.0
378,3,6,1898,3,6,1898,0,0,3,2,4,1,1,mic-1.0
379,3,17,1898,4,10,1898,0,0,3,2,4,1,1,mic-1.0
380,5,-9,1856,5,-9,1856,0,0,7,3,5,1,1,mic-1.0
381,11,19,1864,11,27,1864,0,0,7,3,4,1,1,mic-1.0
391,9,6,1898,10,5,1898,0,0,16,4,4,4,1,mic-1.0
394,6,22,1914,6,24,1915,0,0,14,4,1,1,1,mic-1.0
395,2,23,1916,3,9,1916,0,0,15,4,9,1,1,mic-1.0
397,10,8,1914,10,16,1915,0,0,16,4,9,1,4,mic-1.0
398,5,1,1915,4,9,1917,0,0,16,4,5,1,1,mic-1.0
400,4,4,1917,11,2,1917,0,0,16,4,9,1,1,mic-1.0
407,9,-9,1931,9,-9,1931,0,0,16,4,2,1,1,mic-1.0
409,5,19,1937,7,31,1938,66,230,17,4,5,1,1,mic-1.0
418,5,16,1940,10,28,1940,9,9,16,4,9,1,1,mic-1.0
420,4,30,1941,5,31,1941,550,1036,22,5,1,4,1,mic-1.0
501,1,31,1831,1,31,1831,0,0,4,2,4,1,1,mic-1.0
502,2,12,1864,7,28,1864,0,0,7,3,2,1,2,mic-1.0
503,9,24,1939,10,5,1939,0,0,7,3,4,1,1,mic-1.0
504,6,14,1940,6,15,1940,0,0,14,4,1,1,1,mic-1.0
505,6,10,1940,6,16,1940,0,0,13,4,1,1,1,mic-1.0
506,7,12,1881,8,-9,1881,0,0,7,3,5,1,1,mic-1.0
507,4,2,1882,6,17,1882,0,0,7,3,5,1,1,mic-1.0
509,8,5,1866,8,5,1866,0,0,1,2,4,1,1,mic-1.0
511,2,24,1899,5,-9,1899,0,0,7,3,5,1,1,mic-1.0
523,8,16,1941,1,29,1942,695,1045,16,4,1,2,1,mic-1.0
603,8,2,1946,8,17,1946,0,0,7,3,5,1,2,mic-1.0
604,8,30,1949,9,9,1949,1,1,16,4,4,1,1,mic-1.0
605,7,30,1956,12,12,1956,10,10,17,4,6,1,1,mic-1.0
606,10,23,1956,11,14,1956,3092,3520,22,5,1,1,1,mic-1.0
607,4,13,1957,4,13,1958,0,0,17,4,5,3,4,mic-1.0
608,11,7,1958,6,23,1959,0,0,15,4,5,1,3,mic-1.0
610,10,21,1962,6,30,1965,53,105,17,4,5,1,1,mic-1.0
611,5,25,1964,4,30,1975,883003,1124302,22,5,2,2,9,mic-1.0
612,2,27,1921,3,17,1921,0,0,7,3,6,1,1,mic-1.0
613,8,16,1940,1,28,1941,438,690,22,5,1,1,1,mic-1.0
616,10,29,1935,11,30,1935,0,0,15,4,5,1,1,mic-1.0
617,2,4,1942,2,4,1942,0,0,7,3,4,1,1,mic-1.0
619,11,19,1975,6,1,1976,0,0,16,4,1,1,1,mic-1.0
620,1,5,1939,1,16,1939,0,0,1,2,5,1,2,mic-1.0
623,8,-9,1965,12,12,1965,38,38,17,4,5,1,1,mic-1.0
624,2,22,1963,3,8,1963,0,0,8,3,5,1,1,mic-1.0
625,7,29,1922,7,29,1922,0,0,1,2,4,3,1,mic-1.0
1002,4,26,1963,6,3,1963,0,0,16,4,5,1,4,mic-1.0
1006,4,24,1950,1,26,1959,154,241,17,4,5,2,1,mic-1.0
1013,1,12,1957,10,28,1957,0,0,16,4,5,1,1,mic-1.0
1018,6,14,1962,7,4,1962,3,3,17,4,5,1,1,mic-1.0
1019,8,25,1963,9,5,1965,5,5,17,4,5,1,1,mic-1.0
1021,4,27,1960,8,18,1962,70,228,17,4,4,1,1,mic-1.0
1023,12,11,1951,1,9,1952,0,0,15,4,3,1,1,mic-1.0
1024,11,7,1957,2,27,1959,0,0,15,4,6,1,1,mic-1.0
1025,8,26,1927,8,-9,1927,0,0,11,3,5,1,1,mic-1.0
1026,10,7,1928,1,4,1929,4,40,17,4,6,1,1,mic-1.0
1027,6,15,1931,10,7,1935,25417,65462,22,5,1,1,1,mic-1.0
1029,6,-9,1938,7,21,1938,0,0,7,3,6,1,1,mic-1.0
1035,8,15,1966,8,14,1970,5375,13119,22,5,2,1,6,mic-1.0
1039,9,2,1970,9,26,1970,202,500,17,4,6,2,2,mic-1.0
1046,10,14,1971,10,28,1973,8101,13665,22,5,5,5,1,mic-1.0
1051,5,6,1968,6,15,1968,1,1,17,4,5,1,1,mic-1.0
1061,4,12,1974,1,12,1976,11,11,17,4,5,1,2,mic-1.0
1062,8,28,1953,12,20,1953,0,0,11,3,5,1,1,mic-1.0
1063,6,13,1908,12,23,1908,0,0,16,4,4,1,1,mic-1.0
1066,12,17,1941,12,17,1941,0,0,14,4,7,1,1,mic-1.0
1068,8,15,1970,10,14,1970,0,0,15,4,7,1,1,mic-1.0
1070,2,1,1963,11,21,1965,118,232,17,4,5,1,4,mic-1.0
1072,4,3,1968,9,18,1968,0,0,10,3,5,1,1,mic-1.0
1073,8,3,1954,5,4,1955,0,0,8,3,5,1,1,mic-1.0
1074,8,17,1961,12,19,1961,38,67,17,4,1,1,1,mic-1.0
1077,9,22,1947,2,24,1948,0,0,14,4,1,1,1,mic-1.0
1079,6,17,1951,8,4,1951,6,6,16,4,5,1,1,mic-1.0
1081,7,16,1971,8,13,1971,1,1,17,4,5,1,1,mic-1.0
1083,7,5,1962,10,9,1962,52,200,17,4,5,1,1,mic-1.0
1084,9,-9,1963,11,1,1963,64,135,17,4,6,1,1,mic-1.0
1086,5,9,1909,1,-9,1910,3626,6965,22,5,1,1,1,mic-1.0
1087,5,23,1911,12,30,1911,0,0,16,4,1,1,1,mic-1.0
1091,2,9,1958,2,28,1958,0,0,15,4,5,1,1,mic-1.0
1093,5,-9,1900,11,-9,1900,0,0,14,4,6,1,1,mic-1.0
1095,1,-9,1912,2,28,1912,0,0,16,4,3,1,1,mic-1.0
1097,7,26,1952,8,22,1952,0,0,14,4,3,1,1,mic-1.0
1098,8,4,1955,9,-9,1955,0,0,14,4,3,1,1,mic-1.0
1099,1,12,1958,3,24,1960,0,0,16,4,5,1,1,mic-1.0
1102,9,17,1963,11,5,1963,0,0,7,3,5,1,1,mic-1.0
1104,5,5,1972,5,25,1972,7,17,16,4,5,1,1,mic-1.0
1105,11,18,1973,11,18,1973,0,0,16,4,5,1,1,mic-1.0
1106,10,17,1975,3,11,1976,102,275,16,4,3,2,1,mic-1.0
1107,10,17,1971,10,28,1972,0,0,16,4,6,1,1,mic-1.0
1108,10,7,1962,3,7,1963,156,770,17,4,5,2,3,mic-1.0
1109,5,1,1966,5,14,1967,4,4,16,4,5,1,1,mic-1.0
1110,11,26,1969,12,3,1969,9,36,17,4,5,1,1,mic-1.0
1112,12,19,1949,4,8,1950,0,0,12,3,5,1,1,mic-1.0
1114,6,-9,1959,7,24,1959,0,0,8,3,5,2,1,mic-1.0
1115,5,8,1967,5,8,1967,1,1,17,4,5,1,1,mic-1.0
1117,11,21,1957,4,2,1958,260,570,22,5,6,2,1,mic-1.0
1118,1,1,1972,6,-9,1972,0,0,15,4,7,1,1,mic-1.0
1119,1,-9,1973,1,2,1974,0,0,17,4,6,1,1,mic-1.0
1120,2,-9,1901,6,17,1901,0,0,17,4,6,1,1,mic-1.0
1123,7,9,1962,8,19,1962,3,3,16,4,5,1,1,mic-1.0
1124,12,29,1958,1,29,1959,0,0,16,4,5,1,2,mic-1.0
1129,11,14,1933,6,14,1934,1875,2325,22,5,1,1,4,mic-1.0
1131,11,13,1914,3,20,1917,0,0,17,4,5,1,1,mic-1.0
1132,11,3,1918,11,3,1918,0,0,16,4,5,1,1,mic-1.0
1133,5,18,1920,2,26,1921,0,0,16,4,1,1,2,mic-1.0
1135,1,17,1972,4,14,1972,2,20,17,4,5,1,1,mic-1.0
1136,3,6,1969,6,14,1969,0,0,16,4,5,1,1,mic-1.0
1138,9,22,1959,1,2,1960,0,0,16,4,5,1,1,mic-1.0
1139,9,1,1932,5,7,1933,42,120,17,4,6,1,1,mic-1.0
1141,4,-9,1934,5,24,1934,0,0,7,3,2,1,1,mic-1.0
1142,12,19,1917,12,29,1917,0,0,17,4,1,1,1,mic-1.0
1145,6,27,1904,7,28,1904,30,30,16,4,5,1,1,mic-1.0
1147,4,4,1910,5,18,1910,0,0,11,3,5,1,1,mic-1.0
1148,4,22,1912,3,-9,1913,0,0,14,4,4,1,1,mic-1.0
1151,10,10,1932,11,13,1932,2,50,17,4,5,1,1,mic-1.0
1152,12,-9,1934,2,-9,1935,0,0,11,3,1,1,1,mic-1.0
1153,6,1,1938,6,18,1938,4,20,17,4,5,1,1,mic-1.0
1154,5,-9,1940,1,29,1942,406,703,22,5,1,1,1,mic-1.0
1155,8,9,1951,8,14,1951,2,2,17,4,5,1,1,mic-1.0
1156,1,24,1954,3,4,1954,0,0,15,4,5,1,1,mic-1.0
1157,8,10,1955,8,13,1955,0,0,15,4,5,1,1,mic-1.0
1160,10,-9,1907,10,-9,1907,0,0,16,4,5,1,1,mic-1.0
1161,1,18,1911,7,19,1911,2,20,16,4,2,1,1,mic-1.0
1163,10,21,1902,6,22,1903,0,0,17,4,6,1,1,mic-1.0
1166,10,14,1966,4,12,1967,0,0,14,4,5,1,1,mic-1.0
1169,10,-9,1927,2,14,1928,0,0,17,4,6,1,1,mic-1.0
1170,3,31,1929,9,-9,1929,0,0,16,4,5,2,1,mic-1.0
1171,8,-9,1935,9,-9,1935,4,20,17,4,5,1,1,mic-1.0
1172,1,25,1969,7,24,1969,0,0,14,4,5,1,1,mic-1.0
1173,2,-9,1957,6,23,1957,35,35,17,4,6,1,1,mic-1.0
1174,9,17,1900,10,-9,1901,100,200,17,4,5,1,1,mic-1.0
1175,2,19,1917,12,29,1917,0,0,14,4,5,1,1,mic-1.0
1178,1,26,1902,3,21,1903,0,0,15,4,1,1,1,mic-1.0
1179,1,-9,1906,1,-9,1906,0,0,11,3,5,1,1,mic-1.0
1180,12,7,1910,3,30,1911,2,50,17,4,6,1,1,mic-1.0
1181,5,-9,1911,10,24,1911,0,0,11,3,5,1,1,mic-1.0
1182,10,-9,1918,10,-9,1918,0,0,11,3,5,1,1,mic-1.0
1184,6,14,1920,9,10,1920,0,0,10,3,5,1,2,mic-1.0
1189,11,-9,1975,7,-9,1976,0,0,12,3,5,1,1,mic-1.0
1190,7,13,1976,8,9,1976,2,2,17,4,6,1,1,mic-1.0
1191,9,11,1976,1,-9,1977,0,0,16,4,5,1,1,mic-1.0
1193,4,6,1954,2,24,1955,0,0,16,4,6,1,2,mic-1.0
1195,7,2,1918,8,30,1918,0,0,16,4,5,1,1,mic-1.0
1196,12,24,1913,1,-9,1914,0,0,7,3,5,1,1,mic-1.0
1197,9,1,1943,9,1,1943,2,24,17,4,5,1,1,mic-1.0
1202,12,-9,1906,9,17,1907,1338,2551,22,5,2,2,1,mic-1.0
1203,1,3,1909,5,25,1909,0,0,16,4,6,3,1,mic-1.0
1205,3,-9,1906,7,20,1906,951,4000,22,5,5,1,3,mic-1.0
1206,6,24,1969,7,18,1969,1169,1854,22,5,5,1,1,mic-1.0
1207,4,2,1912,7,12,1912,0,0,14,4,5,1,1,mic-1.0
1208,12,-9,1959,12,28,1959,1,1,17,4,5,1,1,mic-1.0
1209,5,15,1962,11,-9,1962,2,50,17,4,5,1,1,mic-1.0
1213,3,19,1964,4,28,1969,31,127,17,4,9,3,2,mic-1.0
1214,2,-9,1956,2,-9,1956,0,0,15,4,5,1,1,mic-1.0
1215,5,-9,1958,6,29,1958,0,0,16,4,5,1,1,mic-1.0
1219,1,1,1919,3,18,1921,34486,47580,22,5,2,2,1,mic-1.0
1225,11,-9,1953,5,-9,1954,0,0,14,4,1,1,1,mic-1.0
1226,8,4,1958,2,6,1959,0,0,15,4,5,1,1,mic-1.0
1227,6,16,1961,11,9,1961,0,0,11,3,5,1,1,mic-1.0
1228,6,16,1962,11,13,1962,0,0,17,4,5,1,1,mic-1.0
1229,4,14,1964,9,30,1966,24,246,17,4,4,1,1,mic-1.0
1230,6,21,1967,6,21,1967,0,0,1,2,5,1,1,mic-1.0
1231,5,29,1975,2,20,1976,9,33,17,4,5,1,1,mic-1.0
1232,8,2,1976,6,25,1987,345,419,17,4,1,2,1,mic-1.0
1233,8,28,1921,10,13,1921,2,20,17,4,3,1,1,mic-1.0
1234,12,24,1920,7,-9,1921,0,0,10,3,5,1,2,mic-1.0
1235,8,6,1921,11,17,1921,100,300,17,4,6,1,1,mic-1.0
1238,10,22,1947,1,1,1949,2179,5660,22,5,6,1,1,mic-1.0
1240,9,-9,1923,9,15,1923,0,0,7,3,5,1,1,mic-1.0
1241,10,16,1925,10,29,1925,32,62,17,4,5,1,1,mic-1.0
1243,3,10,1938,3,20,1938,1,1,17,4,3,1,1,mic-1.0
1244,9,21,1938,11,28,1938,2,2,17,4,2,1,1,mic-1.0
1249,8,-9,1909,8,-9,1909,0,0,7,3,5,1,1,mic-1.0
1250,9,3,1912,5,30,1913,52310,67450,22,5,1,3,1,mic-1.0
1251,4,18,1913,9,29,1913,28962,40915,22,5,2,4,1,mic-1.0
1262,9,15,1918,3,14,1919,0,0,14,4,4,3,1,mic-1.0
1263,11,-9,1918,11,-9,1918,0,0,14,4,1,1,1,mic-1.0
1265,3,20,1919,8,18,1919,9200,12200,22,5,1,5,1,mic-1.0
1268,1,23,1919,2,3,1919,80,160,16,4,6,1,1,mic-1.0
1270,5,4,1919,10,14,1922,36247,44847,22,5,2,1,1,mic-1.0
1272,4,26,1919,11,30,1920,610,890,22,5,1,2,1,mic-1.0
1273,3,15,1921,10,20,1921,60,150,16,4,6,1,1,mic-1.0
1274,10,5,1908,4,19,1909,0,0,10,3,3,1,1,mic-1.0
1279,12,25,1963,8,10,1964,1,25,16,4,5,1,1,mic-1.0
1280,11,17,1967,12,1,1967,0,0,11,3,6,1,2,mic-1.0
1284,7,28,1948,8,13,1948,3,27,16,4,5,1,1,mic-1.0
1285,8,6,1949,8,10,1949,2,50,17,4,5,1,1,mic-1.0
1286,8,9,1949,12,14,1951,2,2,17,4,5,4,2,mic-1.0
1289,6,3,1976,9,1,1976,0,0,10,3,5,1,1,mic-1.0
1292,3,28,1974,6,5,1974,0,0,11,3,5,1,1,mic-1.0
1293,7,15,1974,8,16,1974,720,1560,22,5,1,1,2,mic-1.0
1295,7,27,1952,8,13,1952,1,1,17,4,2,1,1,mic-1.0
1300,5,7,1955,5,7,1955,6,6,17,4,5,1,1,mic-1.0
1301,2,16,1956,3,19,1956,11,11,17,4,5,1,1,mic-1.0
1302,3,11,1958,6,22,1959,6,6,17,4,6,1,1,mic-1.0
1303,9,14,1960,10,7,1960,0,0,17,4,5,1,1,mic-1.0
1304,5,19,1961,6,11,1961,2,2,17,4,5,1,1,mic-1.0
1305,5,4,1955,9,9,1955,0,0,10,3,5,1,1,mic-1.0
1306,6,17,1950,10,5,1950,57,205,17,4,5,1,1,mic-1.0
1307,3,27,1949,3,27,1949,0,0,16,4,5,1,1,mic-1.0
1308,2,23,1950,6,11,1950,2,50,17,4,5,1,1,mic-1.0
1310,9,17,1962,10,17,1962,2,2,17,4,5,1,1,mic-1.0
1312,2,21,1964,1,10,1966,2631,4230,22,5,5,1,1,mic-1.0
1317,7,-9,1963,8,-9,1963,0,0,14,4,6,1,1,mic-1.0
1319,2,5,1965,3,17,1965,1,1,16,4,5,1,1,mic-1.0
1321,7,5,1960,9,2,1960,62,210,17,4,3,1,1,mic-1.0
1322,9,12,1966,9,17,1966,0,0,16,4,6,1,1,mic-1.0
1323,1,1,1969,2,3,1969,0,0,13,4,6,1,1,mic-1.0
1324,10,17,1966,10,17,1966,0,0,1,2,5,3,1,mic-1.0
1325,11,23,1969,6,16,1970,0,0,8,3,6,1,1,mic-1.0
1328,1,-9,1965,1,-9,1965,0,0,7,3,5,1,1,mic-1.0
1331,10,28,1975,11,9,1975,0,0,8,3,4,2,2,mic-1.0
1333,8,6,1976,3,3,1978,16,16,17,4,5,1,1,mic-1.0
1334,10,11,1975,10,19,1975,0,0,16,4,5,1,1,mic-1.0
1337,9,9,1976,3,8,1977,0,0,14,4,5,1,1,mic-1.0
1339,11,16,1976,11,16,1976,3,10,16,4,5,1,1,mic-1.0
1340,8,23,1972,11,13,1972,0,0,16,4,6,1,1,mic-1.0
1342,5,4,1973,5,4,1973,0,0,17,4,5,1,1,mic-1.0
1343,10,9,1967,10,9,1967,2,2,17,4,5,1,1,mic-1.0
1345,7,25,1954,1,21,1955,0,0,14,4,5,1,1,mic-1.0
1350,12,-9,1958,1,7,1960,0,0,16,4,5,1,1,mic-1.0
1351,3,17,1966,4,25,1966,1,1,17,4,3,1,1,mic-1.0
1352,2,19,1967,8,25,1967,0,0,15,4,7,1,1,mic-1.0
1353,1,-9,1962,2,20,1973,8235,16806,22,5,6,3,7,mic-1.0
