Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Armenia,ARM,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1918.840247,1983.889969,2033.071574,2064.234127,2079.179168,2096.64433,2116.616007,2139.406057,2164.731012,2189.182521,2208.99139,2223.986107,2237.302842,2250.884897,2266.324708,2282.990275,2299.038587,2313.871489,2328.010147,2341.774053,2353.46918,2364.043379,2373.413889,2382.759645,2393.368774,2405.043895,2418.072332,2431.750385,2444.746379,,,
American Samoa,ASM,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,924.5266246,912.1526803,899.9965385,886.4039275,871.8395815,857.8734637,843.9229433,829.9020077,815.788648,805.9891191,802.8532168,803.7715434,806.664288,809.7418169,812.0559069,812.626973,811.0173589,808.3446035,804.8414308,801.3684908,799.0657078,797.1669912,795.0097847,795.569291,799.4096667,803.5603907,808.0431371,812.7285799,817.1475266,821.1217787,817.1732093,804.2190569,789.8654191,775.2862595,760.2561478,745.0070203,730.1524895,716.5297911,704.4066052,692.8252615,682.280391,673.6187577,666.0262568,658.7198034,651.0661208,642.808579,634.0226297,624.6171217,615.1371046,606.8031974,599.5687717,593.1062801,587.5905398,582.724461,578.1567917,574.1795857,570.6822946,567.5245018,564.4994952,561.1672278,,,
Australia,AUS,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,46933.12983,45801.52672,44931.50685,44058.38632,43203.37197,42228.13492,41698.44902,40969.27305,40120.68825,39337.97074,38030.45528,37337.78554,36771.30045,35852.2189,35413.5176,35060.21521,34667.41826,34266.61095,33898.30508,33487.61231,32968.6677,32402.00189,31961.60035,31580.18179,31162.29271,30714.77399,30251.09516,29760.16933,29260.6059,28830.72427,28465.57367,28148.6512,27899.36811,27631.96115,27325.92194,26996.22991,26705.69461,26440.83187,26153.15201,25855.54256,25525.68779,25236.96847,24948.35766,24683.03125,24384.38836,24057.5433,23622.47596,23153.81394,22681.53561,22331.40808,22023.25297,21642.10339,21272.79729,20957.85401,20658.38526,20338.22047,20006.02783,19708.96587,19419.90839,19181.84892,,,
Austria,AUT,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,7761.456298,7714.032133,7664.638882,7613.720256,7564.412,7511.541142,7455.607281,7416.99406,7391.425006,7365.657768,7332.862075,7290.367794,7250.087825,7237.758253,7256.986928,7269.819345,7267.028961,7272.914806,7285.323054,7285.315334,7266.760122,7261.550486,7273.29471,7273.752571,7270.338276,7265.719516,7261.122918,7250.850558,7218.25794,7163.46373,7092.298267,7014.67176,6957.064665,6930.340501,6919.737835,6910.401121,6902.574924,6895.004995,6881.602898,6865.074818,6838.845588,6805.282433,6772.21221,6730.326582,6684.630903,6651.637192,6630.111047,6609.388504,6592.097657,6576.269662,6554.139636,6524.324878,6485.984436,6435.491337,6363.752805,6295.306174,6251.729171,6221.352791,6193.749493,6168.087794,,,
Azerbaijan,AZE,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1099.288138,1082.750707,1068.248086,1055.973767,1045.343295,1035.307626,1025.527613,1016.566973,1008.249882,1000.468488,993.0310391,985.5357598,976.9457654,967.0096582,956.4443606,945.6609138,926.0104526,906.983302,896.2560684,884.6535984,872.9763945,861.7576181,851.0679356,840.9900738,831.6413557,823.5206844,816.4171991,809.5342081,804.012951,,,
Burundi,BDI,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,3572.478704,3484.105759,3412.329091,3316.60634,3226.288543,3150.269088,3072.231335,3000.837908,2937.71604,2876.065588,2808.431996,2810.687878,2816.783099,2748.609848,2683.216189,2626.022315,2561.472801,2490.462716,2431.456962,2332.572967,2240.163821,2185.877364,2128.422137,2077.538872,2033.134843,1995.356334,1950.455711,1908.252147,1872.081734,1834.49667,1798.089235,1751.671793,1810.909379,1800.799369,1695.662895,1696.313654,1698.216468,1666.848926,1627.784304,1594.886471,1555.895708,1513.023584,1466.291475,1412.822927,1361.506503,1313.626327,1266.267478,1215.253387,1155.078338,1102.271874,1063.904829,1027.004397,991.174312,958.5596374,937.8075142,922.6541587,901.7898018,875.279463,847.1694519,823.2252969,,,
Belgium,BEL,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,1306.627607,1301.436851,1291.743498,1279.575113,1268.007422,1259.471356,1252.480041,1247.562575,1244.034853,1242.808669,1240.545749,1235.697446,1231.815326,1227.945711,1224.402339,1222.216598,1220.70834,1219.569951,1218.474263,1217.132108,1217.164206,1217.495038,1217.591766,1217.610051,1217.247422,1216.813565,1215.776647,1211.917512,1207.523232,1203.927331,1199.461921,1194.605401,1189.947915,1186.286176,1183.804256,1181.493441,1178.63778,1176.123747,1173.431286,1170.588953,1166.569615,1161.351949,1156.500211,1151.505829,1145.189294,1137.660958,1129.337361,1120.451004,1111.472031,1101.363433,1087.127469,1080.406362,1075.325956,1070.562849,1064.377451,1059.002127,1054.930402,1050.139432,1044.479144,1039.98716,,,
Benin,BEN,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,4037.290453,3971.770353,3904.351722,3835.242452,3764.835921,3693.554067,3621.992032,3550.23304,3478.359538,3406.712149,3335.080743,3263.202983,3191.443214,3120.005719,3048.507075,2976.595578,2904.309488,2832.061243,2759.622912,2686.53205,2613.172572,2540.459281,2469.120413,2399.21548,2330.552961,2263.048894,2196.730199,2131.788401,2068.406002,2006.460022,1945.949459,1887.214907,1805.060162,1738.867953,1703.461715,1660.256679,1612.644132,1564.355061,1517.251965,1471.844262,1428.167144,1385.939283,1344.786563,1304.696883,1263.893782,1225.806536,1191.059744,1156.462791,1122.920063,1090.442116,1058.975693,1028.552004,999.153145,970.3392721,942.1205927,914.735546,888.1776569,862.5972233,838.0494635,814.6721344,,,
Burkina Faso,BFA,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,2575.814993,2538.330311,2500.664677,2462.515103,2423.453289,2384.223536,2344.946069,2305.371756,2266.238825,2227.502492,2189.988319,2153.211135,2115.867619,2077.053362,2036.34667,1993.695138,1948.081599,1900.337485,1851.868587,1802.979879,1754.698732,1707.226499,1659.765583,1612.596104,1566.576035,1522.936582,1481.921272,1442.798244,1405.2469,1368.908753,1334.747953,1302.279354,1270.315521,1238.696154,1207.348833,1176.890392,1147.067549,1115.965511,1083.794293,1051.93283,1020.427822,989.5292762,959.2811255,929.6460941,900.827731,873.1341647,847.051387,822.4812417,798.7209219,775.5860406,752.8918123,730.4076048,708.7611037,687.9531479,667.8057117,648.4916758,630.1718837,612.9637518,596.6120359,580.7841478,,,
