micnum,ccode,stmon,stday,styear,endmon,endday,endyear,sidea,fatalmin,fatalmax,hiact,hostlev,orig,version
1645,140,1,3,1895,7,2,1895,0,0,0,0,1,1,mic-1.0
1645,200,1,3,1895,7,2,1895,1,0,0,14,4,1,mic-1.0
1646,140,5,-9,1895,8,15,1895,0,60,60,17,4,1,mic-1.0
1646,220,5,-9,1895,8,15,1895,1,25,25,17,4,1,mic-1.0
1647,220,5,15,1895,3,16,1896,1,1,15,16,4,1,mic-1.0
1647,140,5,15,1895,3,16,1896,0,50,70,7,3,1,mic-1.0
1648,41,9,21,1897,12,6,1897,1,0,0,15,4,1,mic-1.0
1648,255,9,21,1897,12,6,1897,0,0,0,7,3,1,mic-1.0
1649,235,10,11,1899,10,14,1899,0,0,0,0,1,1,mic-1.0
1649,200,10,11,1899,10,14,1899,1,0,0,2,2,1,mic-1.0
1650,710,6,-9,1905,6,-9,1905,0,0,0,0,1,1,mic-1.0
1650,2,6,-9,1905,6,-9,1905,1,0,0,7,3,1,mic-1.0
1660,380,2,1,1917,5,8,1917,0,0,0,0,1,1,mic-1.0
1660,200,2,1,1917,5,8,1917,1,0,0,15,4,1,mic-1.0
1661,210,3,18,1915,11,6,1918,0,0,0,0,1,1,mic-1.0
1661,255,3,18,1915,11,6,1918,1,0,0,16,4,1,mic-1.0
1665,40,1,6,1921,1,6,1921,0,0,0,0,1,1,mic-1.0
1665,2,1,6,1921,1,6,1921,1,0,0,1,2,1,mic-1.0
1666,92,5,-9,1921,5,-9,1921,0,0,0,0,1,1,mic-1.0
1666,2,5,-9,1921,5,-9,1921,1,0,0,7,3,1,mic-1.0
1668,710,11,-9,1922,9,29,1923,0,0,0,0,1,1,mic-1.0
1668,365,11,-9,1922,9,29,1923,1,0,0,13,4,1,mic-1.0
1669,530,12,-9,1923,6,-9,1924,0,0,0,0,1,1,mic-1.0
1669,325,12,-9,1923,6,-9,1924,1,0,0,14,4,1,mic-1.0
1670,325,4,-9,1926,7,-9,1926,0,0,0,0,1,1,mic-1.0
1670,220,4,-9,1926,7,-9,1926,1,0,0,7,3,1,mic-1.0
1671,325,9,11,1926,7,3,1927,1,0,0,16,4,1,mic-1.0
1671,220,9,11,1926,7,3,1927,0,0,0,7,3,1,mic-1.0
1672,200,10,28,1927,10,31,1927,0,0,0,0,1,1,mic-1.0
1672,230,10,28,1927,10,31,1927,0,0,0,0,1,1,mic-1.0
1672,220,10,28,1927,10,31,1927,0,0,0,0,1,1,mic-1.0
1672,325,10,28,1927,10,31,1927,1,0,0,7,3,1,mic-1.0
1674,365,2,28,1927,7,12,1927,0,0,0,7,3,1,mic-1.0
1674,710,2,28,1927,7,12,1927,1,0,0,15,4,1,mic-1.0
1677,40,8,-9,1933,1,24,1934,0,0,0,0,1,1,mic-1.0
1677,2,8,-9,1933,1,24,1934,1,0,0,13,4,1,mic-1.0
1683,200,3,-9,1883,9,-9,1883,1,0,0,7,3,1,mic-1.0
1683,41,3,-9,1883,9,-9,1883,0,0,0,16,4,1,mic-1.0
1685,366,9,14,1939,9,18,1939,1,0,0,17,4,1,mic-1.0
1685,290,9,14,1939,9,18,1939,0,0,0,17,4,1,mic-1.0
1686,255,8,29,1939,8,29,1939,0,0,0,0,1,1,mic-1.0
1686,225,8,29,1939,8,29,1939,1,0,0,10,3,1,mic-1.0
1695,310,2,-9,1944,9,16,1944,0,0,0,17,4,1,mic-1.0
1695,255,2,-9,1944,9,16,1944,1,0,0,17,4,1,mic-1.0
1698,200,2,15,1947,7,17,1948,0,0,0,7,3,1,mic-1.0
1698,155,2,15,1947,7,17,1948,1,0,0,14,4,1,mic-1.0
1698,160,4,3,1947,7,17,1948,1,0,0,14,4,0,mic-1.0
1701,380,6,16,1952,6,17,1952,0,0,0,8,3,1,mic-1.0
1701,365,6,16,1952,6,17,1952,1,0,0,16,4,1,mic-1.0
1703,355,9,-9,1952,10,-9,1952,0,0,0,7,3,0,mic-1.0
1703,360,9,-9,1952,10,-9,1952,0,0,0,7,3,0,mic-1.0
1703,310,7,2,1952,10,26,1952,0,0,0,16,4,1,mic-1.0
1703,365,7,15,1952,10,-9,1952,0,0,0,11,3,0,mic-1.0
1703,345,7,2,1952,10,26,1952,1,0,0,16,4,1,mic-1.0
1703,315,9,-9,1952,10,-9,1952,0,0,0,7,3,0,mic-1.0
1707,750,7,2,1958,10,22,1958,0,3,3,17,4,1,mic-1.0
1707,710,7,2,1958,10,22,1958,1,0,0,17,4,1,mic-1.0
1709,732,12,30,1959,12,30,1959,0,0,0,0,1,1,mic-1.0
1709,365,12,30,1959,12,30,1959,1,0,0,1,2,1,mic-1.0
1710,710,1,10,1960,1,10,1960,1,0,0,16,4,1,mic-1.0
1710,732,1,10,1960,1,10,1960,0,1,1,0,1,1,mic-1.0
1711,220,2,17,1960,5,31,1960,1,0,0,16,4,1,mic-1.0
1711,616,2,17,1960,5,31,1960,0,1,25,0,1,1,mic-1.0
1713,210,7,22,1966,12,30,1966,0,0,0,0,1,1,mic-1.0
1713,710,7,22,1966,12,30,1966,1,0,0,15,4,1,mic-1.0
1714,230,3,27,1866,3,31,1866,0,0,0,0,1,1,mic-1.0
1714,2,3,27,1866,3,31,1866,1,0,0,7,3,1,mic-1.0
1715,710,6,19,1967,10,10,1967,0,3,27,17,4,1,mic-1.0
1715,750,6,19,1967,10,10,1967,1,27,61,17,4,1,mic-1.0
1717,230,8,8,1969,11,30,1969,0,0,0,7,3,1,mic-1.0
1717,200,8,8,1969,11,30,1969,1,0,0,8,3,1,mic-1.0
1718,360,8,2,1971,8,8,1971,0,0,0,0,1,1,mic-1.0
1718,365,8,2,1971,8,8,1971,1,0,0,7,3,1,mic-1.0
1718,310,8,2,1971,8,8,1971,1,0,0,7,3,1,mic-1.0
1718,315,8,2,1971,8,8,1971,1,0,0,7,3,1,mic-1.0
1723,365,3,21,1918,10,14,1920,0,146,335,16,4,1,mic-1.0
1723,375,3,21,1918,10,14,1920,1,230,408,16,4,1,mic-1.0
1733,92,1,23,1932,1,25,1932,0,0,0,0,1,1,mic-1.0
1733,20,1,23,1932,1,25,1932,1,0,0,7,3,1,mic-1.0
1733,200,1,23,1932,1,25,1932,1,0,0,7,3,1,mic-1.0
1733,2,1,23,1932,1,25,1932,1,0,0,7,3,1,mic-1.0
1736,640,6,1,1924,11,28,1924,0,0,0,0,1,1,mic-1.0
1736,325,6,1,1924,11,28,1924,1,0,0,14,4,1,mic-1.0
1739,640,9,-9,1888,9,20,1888,1,0,0,15,4,1,mic-1.0
1739,350,9,-9,1888,9,20,1888,0,0,0,8,3,1,mic-1.0
1740,140,2,13,1842,3,5,1842,0,0,0,0,1,1,mic-1.0
1740,200,2,13,1842,3,5,1842,1,0,0,14,4,1,mic-1.0
1743,220,10,3,1858,10,23,1858,1,0,0,7,3,1,mic-1.0
1743,235,10,3,1858,10,23,1858,0,0,0,0,1,1,mic-1.0
1750,640,5,24,1876,5,30,1876,0,0,0,0,1,1,mic-1.0
1750,200,5,24,1876,5,30,1876,1,0,0,7,3,1,mic-1.0
1752,140,7,6,1826,7,6,1826,0,0,0,0,1,1,mic-1.0
1752,220,7,6,1826,7,6,1826,1,0,0,7,3,1,mic-1.0
1753,220,7,27,1833,12,11,1833,0,0,0,7,3,1,mic-1.0
1753,100,7,27,1833,12,11,1833,1,0,0,15,4,1,mic-1.0
1755,135,6,16,1852,8,25,1852,0,0,0,0,1,1,mic-1.0
1755,2,6,16,1852,8,25,1852,1,0,0,7,3,1,mic-1.0
1757,100,10,-9,1856,1,-9,1857,0,0,0,0,1,1,mic-1.0
1757,200,10,-9,1856,1,-9,1857,1,0,0,7,3,1,mic-1.0
1762,200,6,17,1862,1,5,1863,0,0,0,15,4,1,mic-1.0
1762,140,6,17,1862,1,5,1863,1,0,0,15,4,1,mic-1.0
1763,200,5,4,1880,12,-9,1880,0,0,0,7,3,1,mic-1.0
1763,160,5,4,1880,12,-9,1880,1,0,0,15,4,1,mic-1.0
1764,100,7,6,1885,8,-9,1885,0,0,0,0,1,1,mic-1.0
